docno,ethnic_cd,highschool_ged,mhneeds_lvl,subs_lvl_values,off_cat,off_mdesc,incident_cod,ldesc,fac_cd,lu_cd
772901,I,M,1,5,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,SF,24
903631,B,H,2,2,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,SF,4
196437,W,H,5,5,65,ORGANIZED CRIME CONTROL ACT,UF,USE OF FORCE,SF,4
782872,H,M,1,4,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,DC,2
564112,B,M,4,3,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,SF,21
586815,O,N,3,4,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,SF,2
564426,H,G,3,5,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,SF,35
983040,A,N,4,2,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,DC,5
310457,O,G,4,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,2
750317,A,M,1,2,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,DC,4
445371,M,N,1,5,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,SF,31
838777,U,N,5,1,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,SF,21
729380,O,H,5,3,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,SF,36
760712,W,G,3,2,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,SF,8
659732,H,G,3,2,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,DC,5
485126,U,G,1,4,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,YP,1A
892311,M,N,3,1,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,DC,2
626997,W,G,4,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,SF,6
337879,H,G,4,1,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,SF,35
519098,A,M,5,1,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,SF,3
857568,A,N,3,1,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,DC,3
787030,H,G,5,2,65,ORGANIZED CRIME CONTROL ACT,SV,SEXUAL ACT,YP,L2
931522,M,M,2,1,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,DC,1
177756,W,G,5,4,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,YP,I7
482024,H,G,3,2,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,3
399660,I,N,1,1,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,SF,31
437310,I,N,2,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,YP,I7
378663,U,N,1,2,65,ORGANIZED CRIME CONTROL ACT,UF,USE OF FORCE,DC,2
655944,U,N,2,3,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,YP,1A
569080,O,G,5,5,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,YP,1A
402697,B,G,3,5,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,SF,7
695219,H,G,2,4,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,DC,3
845598,A,N,2,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,4
343510,H,G,4,1,65,ORGANIZED CRIME CONTROL ACT,PD,PROPERTY DAMAGE,YP,I4
678671,H,N,4,1,65,ORGANIZED CRIME CONTROL ACT,UF,USE OF FORCE,YP,1A
975410,O,H,3,2,65,ORGANIZED CRIME CONTROL ACT,UF,USE OF FORCE,SF,32
817586,B,H,1,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,YP,CU
933923,B,G,3,3,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,SF,23
842935,M,H,3,2,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,YP,I4
339216,O,M,1,2,65,ORGANIZED CRIME CONTROL ACT,AC,ACT OF SABOTAGE,SF,35
347208,H,H,5,3,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,3
908654,M,M,5,5,65,ORGANIZED CRIME CONTROL ACT,ES,ESCAPE W/ FORCE,DC,4
473940,O,G,4,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,YP,1A
919706,M,N,3,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,DC,5
923466,W,M,2,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,I4
802477,M,G,5,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,SF,21
984408,O,H,5,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,YP,I7
572019,I,G,4,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,I7
664962,W,M,1,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,DC,3
264214,B,H,3,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,YP,U2
370969,O,H,4,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,1
149496,A,M,4,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,SF,23
587110,M,H,1,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,DC,5
915293,H,N,1,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,SF,23
658904,B,G,4,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,YP,U2
567619,U,H,3,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,SF,1
352828,W,N,5,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,L2
449073,O,M,1,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,SF,23
244598,H,N,5,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,DC,1
543443,W,M,5,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,CU
748180,I,H,5,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,DC,3
872640,I,M,5,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,SF,36
