DR_NO,Date Rptd,DATE OCC,TIME OCC,newdate,formatted_newdate,serialdate,day,month,year,weekday,time_text,time_serial,time,time,date_time,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200304273,1/5/20 0:00,1/5/20 0:00,620,01/05/2020,01/05/2020,43835,5,1,2020,Tue,0.263888889,06:20,6:20 AM,6:20 AM,01/05/2020 0.263888888888889,3,Southwest,316,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0416 0446 0913 0329,18,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,2200    LA SALLE                     AV,,34.0364,-118.3058
200304283,1/5/20 0:00,1/5/20 0:00,940,01/05/2020,01/05/2020,43835,5,1,2020,Sat,0.402777778,09:40,9:40 AM,9:40 AM,01/05/2020 0.402777777777778,3,Southwest,397,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0340 0416 2000 1813 1243 1253 0913,34,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,1000 W  MARTIN LUTHER KING JR        BL,,34.0109,-118.2915
200304396,1/7/20 0:00,1/7/20 0:00,2020,01/07/2020,01/07/2020,43837,7,1,2020,Sat,0.847222222,20:20,8:20 PM,8:20 PM,01/07/2020 0.847222222222222,3,Southwest,393,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 1259 0408 0419 0416 0446 0429 1309 0913,17,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,3100    STOCKER                      ST,,34.0085,-118.3274
200304600,1/11/20 0:00,1/11/20 0:00,1334,01/11/2020,01/11/2020,43841,11,1,2020,Sat,0.565277778,13:34,1:34 PM,1:34 PM,01/11/2020 0.565277777777778,3,Southwest,312,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0329 0408 0448 1309 1814 2000 0444,35,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,2700 S  SYCAMORE                     AV,,34.0313,-118.3547
200304617,1/11/20 0:00,1/11/20 0:00,1145,01/11/2020,01/11/2020,43841,11,1,2020,Sun,0.489583333,11:45,11:45 AM,11:45 AM,01/11/2020 0.489583333333333,3,Southwest,355,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 0416 0446 0427 1814 0445,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,1800 W  36TH                         PL,,34.0219,-118.3119
200304619,1/11/20 0:00,1/11/20 0:00,1620,01/11/2020,01/11/2020,43841,11,1,2020,Mon,0.680555556,16:20,4:20 PM,4:20 PM,01/11/2020 0.680555555555555,3,Southwest,394,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0329 0416 0447 1309 1813 1814 2000,55,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236,,,,4300    2ND                          AV,,34.0055,-118.3193
200304688,1/12/20 0:00,1/12/20 0:00,2000,01/12/2020,01/12/2020,43842,12,1,2020,Wed,0.833333333,20:00,8:00 PM,8:00 PM,01/12/2020 0.833333333333333,3,Southwest,361,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0400 0408 0444 0448 1243 1813 1814 2000,20,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,3900    STEVELY                      AV,,34.0163,-118.3536
200304707,1/13/20 0:00,1/13/20 0:00,800,01/13/2020,01/13/2020,43843,13,1,2020,Fri,0.333333333,08:00,8:00 AM,8:00 AM,01/13/2020 0.333333333333333,3,Southwest,395,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1251 1276 0448 0444 0408 0344 2034 1814 0913,30,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,4200 S  HOBART                       BL,,34.0073,-118.3078
200304849,1/15/20 0:00,1/15/20 0:00,1115,01/15/2020,01/15/2020,43845,15,1,2020,Fri,0.46875,11:15,11:15 AM,11:15 AM,01/15/2020 0.46875,3,Southwest,393,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0408 0448 0321 0329 1814 2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,3100    STOCKER                      ST,,34.0085,-118.3274
200304971,1/17/20 0:00,1/17/20 0:00,1400,01/17/2020,01/17/2020,43847,17,1,2020,Fri,0.583333333,14:00,2:00 PM,2:00 PM,01/17/2020 0.583333333333333,3,Southwest,396,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0408 0444 2004 0913,47,F,H,704,ELEMENTARY SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,4100    MENLO                        AV,,34.0092,-118.29
201308041,3/13/20 0:00,3/12/20 0:00,2300,03/13/2020,03/13/2020,43903,13,3,2020,Sun,0.958333333,23:00,11:00 PM,11:00 PM,03/13/2020 0.958333333333333,13,Newton,1313,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2004 1218 1100 1242 0302 0334 2000,39,F,B,102,SIDEWALK,104,SHOTGUN,AO,Adult Other,236,,,,800 E  16TH                         ST,,34.0282,-118.2524
200305338,1/24/20 0:00,1/24/20 0:00,135,01/24/2020,01/24/2020,43854,24,1,2020,Tue,0.065972222,01:35,1:35 AM,1:35 AM,01/24/2020 0.0659722222222222,3,Southwest,392,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1814 0334 0411 2021 1402,53,F,B,501,SINGLE FAMILY DWELLING,207,OTHER KNIFE,AO,Adult Other,236,,,,4600    9TH                          AV,,34.0019,-118.3269
200305483,1/26/20 0:00,1/26/20 0:00,355,01/26/2020,01/26/2020,43856,26,1,2020,Fri,0.163194444,03:55,3:55 AM,3:55 AM,01/26/2020 0.163194444444444,3,Southwest,375,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0408 2002 1814 0448,29,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,1700 W  38TH                         ST,,34.0174,-118.311
200305651,1/28/20 0:00,1/28/20 0:00,1600,01/28/2020,01/28/2020,43858,28,1,2020,Sun,0.666666667,16:00,4:00 PM,4:00 PM,01/28/2020 0.666666666666667,3,Southwest,393,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0416 0408 2034 1309,27,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,3100    STOCKER                      ST,,34.0085,-118.3274
200305840,1/31/20 0:00,1/31/20 0:00,2050,01/31/2020,01/31/2020,43861,31,1,2020,Fri,0.868055556,20:50,8:50 PM,8:50 PM,01/31/2020 0.868055555555555,3,Southwest,361,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2004 2000 1813 1309 0329 0416 0445 0358,40,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",302,BLUNT INSTRUMENT,IC,Invest Cont,236,,,,4000    STEVELY                      AV,,34.015,-118.3536
200900646,3/15/20 0:00,3/15/20 0:00,1100,03/15/2020,03/15/2020,43905,15,3,2020,Mon,0.458333333,11:00,11:00 AM,11:00 AM,03/15/2020 0.458333333333333,9,Van Nuys,909,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0446 1414 0906 2000 0913 1814 0416,24,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,13500    SHERMAN                      WY,,34.205,-118.4339
200305871,1/31/20 0:00,1/30/20 0:00,2300,01/31/2020,01/31/2020,43861,31,1,2020,Mon,0.958333333,23:00,11:00 PM,11:00 PM,01/31/2020 0.958333333333333,3,Southwest,361,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0416 0446 0408 1202 2021 1243,62,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,3800    NICOLET                      AV,,34.0171,-118.3531
200305998,2/3/20 0:00,2/3/20 0:00,630,02/03/2020,02/03/2020,43864,3,2,2020,Fri,0.270833333,06:30,6:30 AM,6:30 AM,02/03/2020 0.270833333333333,3,Southwest,379,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0400 0408 0429 1241 1243 1813 1821 2000,48,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,3800    WISCONSIN                    ST,,34.0168,-118.2931
201406846,2/17/20 0:00,2/17/20 0:00,1500,02/17/2020,02/17/2020,43878,17,2,2020,Thu,0.625,15:00,3:00 PM,3:00 PM,02/17/2020 0.625,14,Pacific,1444,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1813 0408 0421 0913 1402 2000,19,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205,KITCHEN KNIFE,AA,Adult Arrest,236,,,,13600    MARINA POINTE                DR,,33.9857,-118.4435
200306258,2/7/20 0:00,2/6/20 0:00,2115,02/07/2020,02/07/2020,43868,7,2,2020,Sat,0.885416667,21:15,9:15 PM,9:15 PM,02/07/2020 0.885416666666667,3,Southwest,375,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0448 0408,42,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,WESTERN                      AV,LEIGHTON                     AV,34.0128,-118.3089
202008220,4/2/20 0:00,3/24/20 0:00,1,04/02/2020,04/02/2020,43923,2,4,2020,Sat,0.000694444,00:01,12:01 AM,12:01 AM,04/02/2020 0.000694444444444444,20,Olympic,2014,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1243 0446 0416 0448 0429 1813 0913,42,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,100 S  NORMANDIE                    AV,,34.0726,-118.3029
200306298,2/8/20 0:00,2/8/20 0:00,305,02/08/2020,02/08/2020,43869,8,2,2020,Thu,0.128472222,03:05,3:05 AM,3:05 AM,02/08/2020 0.128472222222222,3,Southwest,314,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0448 1310,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,3200    MONTCLAIR                    ST,,34.0328,-118.323
200404406,1/11/20 0:00,1/10/20 0:00,1400,01/11/2020,01/11/2020,43841,11,1,2020,Mon,0.583333333,14:00,2:00 PM,2:00 PM,01/11/2020 0.583333333333333,4,Hollenbeck,455,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0448 0446 0400 0913,20,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,600    BREED                        ST,,34.0512,-118.2066
201207965,2/27/20 0:00,2/27/20 0:00,1100,02/27/2020,02/27/2020,43888,27,2,2020,Mon,0.458333333,11:00,11:00 AM,11:00 AM,02/27/2020 0.458333333333333,12,77th Street,1218,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 0416 0445 1814,52,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,236,,,,700 W  57TH                         ST,,33.9905,-118.2856
